id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24747942,Confortable Apartamento con terraza privada y A/A!,187099262,Ana,Sarrià-Sant Gervasi,el Putxet i el Farró,41.4044,2.14765,Entire home/apt,120,4,55,2021-12-31,1.21,1,25,12,
24748967,"Piso en el centro,  habitación individual,",186901907,Mirla,Eixample,la Nova Esquerra de l'Eixample,41.38542,2.15286,Private room,45,1,6,2018-06-24,0.13,2,0,0,
24753780,UD Marina Vintage Loft A,156294948,Lorenzo,Sant Martí,el Parc i la Llacuna del Poblenou,41.39656,2.19139,Entire home/apt,125,1,39,2021-12-01,0.84,16,264,4,HUTB-012980
24753794,UD Marina Vintage Loft B,156294948,Lorenzo,Sant Martí,el Parc i la Llacuna del Poblenou,41.39587,2.19079,Entire home/apt,126,1,46,2022-03-01,1.00,16,261,9,HUTB-012980
24754917,quiet double room set in poble sec in chilled home,187156464,Hannah,Sants-Montjuïc,el Poble Sec,41.37212,2.16503,Private room,71,2,0,,,1,0,0,
24770130,Habitación presidencial,187279819,Glori Y Adelaida,Nou Barris,el Turó de la Peira,41.43229,2.17011,Private room,51,1,1,2019-09-29,0.03,1,363,0,
24770352,"Habitación individual, en muy buena zona de Bcn",33931039,Santiago,Eixample,l'Antiga Esquerra de l'Eixample,41.38983,2.1512,Private room,45,1,7,2021-10-08,0.15,1,23,1,Exempt
24774150,Room near Sagrada Familia,10358519,Eliane,Sant Martí,el Camp de l'Arpa del Clot,41.41151,2.17848,Private room,23,32,2,2022-02-27,2,1,332,2,
24787329,Comfortable apartment near Passeig de Gracia,178392708,Enjoy Apartments,Eixample,la Dreta de l'Eixample,41.39418,2.17147,Entire home/apt,174,1,6,2022-03-07,0.61,16,257,6,HUTB-003193
24791488,"Gran Via Style, Friendly Rentals",102947901,Friendly,Eixample,el Fort Pienc,41.39633,2.17813,Entire home/apt,179,1,20,2021-11-15,0.51,32,245,7,HUTB-003608
24792072,"Grace, Friendly Rentals",102947901,Friendly,Eixample,la Dreta de l'Eixample,41.38976,2.17427,Entire home/apt,170,1,29,2021-12-05,0.65,32,223,7,HUTB-004478
24792090,"Elegant, Friendly Rentals",102947901,Friendly,Eixample,l'Antiga Esquerra de l'Eixample,41.38954,2.16059,Entire home/apt,162,1,14,2021-08-08,0.31,32,276,4,HUTB-004559
24795077,Renovated apartment near Plaza Catalunya,178392708,Enjoy Apartments,Eixample,l'Antiga Esquerra de l'Eixample,41.38701,2.16025,Entire home/apt,187,1,6,2022-03-03,0.18,16,245,3,HUTB-005154
24796633,LOVELY APARTMENT IN EIXAMPLE NEIGHBORHOOD,3465149,Jordi,Eixample,la Dreta de l'Eixample,41.39401,2.16864,Entire home/apt,150,31,9,2021-10-25,0.20,4,136,2,
24797366,Sunny monthly single room beside ciudadela park,13033664,Cassie,Sant Martí,el Parc i la Llacuna del Poblenou,41.39149,2.1828,Private room,36,31,1,2018-08-31,0.02,7,68,0,No need for long term renting
24797878,CHIC Nº4,10582280,Mariscos,Eixample,el Fort Pienc,41.39903,2.17466,Entire home/apt,210,1,17,2022-03-06,0.37,4,153,9,HUTB-008086
24798791,Monthly quiet room in Arc de Triomf,13033664,Cassie,Sant Martí,el Parc i la Llacuna del Poblenou,41.39123,2.1849,Private room,33,31,0,,,7,68,0,No need for long term renting.
24816324,Beautiful and cozy apartment located in Eixample,178392708,Enjoy Apartments,Eixample,l'Antiga Esquerra de l'Eixample,41.38639,2.15997,Entire home/apt,131,1,3,2021-12-29,0.09,16,252,2,HUTB-003210
24818217,"Modern,cosy apartment in the heart of Poblenou",30765582,Marta,Sant Martí,el Poblenou,41.40404,2.20176,Entire home/apt,140,6,1,2018-07-18,0.02,1,166,0,
24819746,New apartment located in safe and central Eixample,178392708,Enjoy Apartments,Eixample,l'Antiga Esquerra de l'Eixample,41.38683,2.16176,Entire home/apt,131,1,1,2021-12-12,0.33,16,251,1,HUTB-003197
24834970,Manu,187339612,Bora,Horta-Guinardó,Sant Genís dels Agudells,41.42445,2.13711,Private room,18,1,19,2018-09-01,0.40,1,0,0,Exempt
24840696,Lugaris Beach Apartamento Premium Superior,375625,Xavier,Sant Martí,el Poblenou,41.399254,2.208139,Entire home/apt,234,1,110,2022-02-26,2.58,6,282,82,HUTB-010963
24846622,Single Bedroom + Private Bathroom 5 min Parc Guell,789964,Simona,Gràcia,Vallcarca i els Penitents,41.41281,2.14891,Private room,29,3,29,2020-02-28,0.62,1,0,0,Exempt
24846927,Habitación doble en casa rústica en Barcelona.,181475474,Marc,Sants-Montjuïc,Sants,41.37259,2.13658,Private room,40,1,24,2020-02-25,0.57,1,0,0,Exempt
24849004,Alquiler de habitaciones,187843870,Mercedes,Horta-Guinardó,el Guinardó,41.42407,2.17658,Private room,700,15,0,,,1,364,0,
24851755,Habitación doble Barcelona,125141573,Adrian,Sant Martí,el Camp de l'Arpa del Clot,41.4161,2.18295,Private room,30,6,0,,,1,0,0,
