id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4869039,The Seamans celler-arpartment. No Smoking!,15301666,Jane,,Brnshj-Husum,55.70141,12.46775,Private room,280,3,17,2021-10-22,0.20,1,36,3,
4876033,Wonderful townhouse apartment w acces to garden.,25085048,Lisa,,Vanlse,55.69503,12.50917,Entire home/apt,1050,2,11,2019-08-17,0.16,1,24,0,
4876628,Great apartment in the heart of Nørrebro!,25087642,Camilla,,Nrrebro,55.70027,12.54093,Entire home/apt,600,2,13,2021-11-28,0.19,1,17,4,
4890052,Close to metro (airport and city centre),24831571,Pernille,,Amager st,55.6556,12.63673,Entire home/apt,1860,2,18,2021-08-06,0.22,1,1,1,
4897927,"130 kvm tæt på By, strand og metro.",25208950,Martin,,Amager st,55.65321,12.623,Entire home/apt,950,4,21,2020-08-01,0.26,1,31,0,
4908015,Large and modern apartment with bikes,21110661,Mathias,,Bispebjerg,55.70275,12.53078,Entire home/apt,650,3,188,2022-03-11,2.16,1,5,15,
4919358,Light and well located apartment in a quiet area,25337080,Christian,,Vesterbro-Kongens Enghave,55.65579,12.5366,Entire home/apt,714,1,54,2019-09-28,0.64,1,365,0,
4920780,Elegant aptm. w/ perfect location.,25345187,Bjarte,,Frederiksberg,55.67803,12.52306,Entire home/apt,600,7,9,2019-07-14,0.11,1,0,0,
4934494,130sq Renov. Apt - Bright & Central,25423370,Christa,,Vesterbro-Kongens Enghave,55.67099,12.54606,Entire home/apt,1200,2,48,2019-12-26,0.57,1,0,0,
4943667,"144 m2, balcony and 4 bedrooms in cosy Nørrebro",25458733,Kaspar,,Nrrebro,55.69601,12.55382,Entire home/apt,1500,5,27,2022-01-02,0.31,1,203,4,
4944212,beautiful and hyggelig apartment in cph,25484005,Sandra,,Bispebjerg,55.70084,12.53249,Entire home/apt,500,2,15,2019-08-25,0.21,1,0,0,
4945136,Spacious apartment close to centre of Copenhagen,25488337,Maria,,Vesterbro-Kongens Enghave,55.66985,12.55325,Entire home/apt,850,7,49,2020-08-13,0.56,1,21,0,
4948186,Nice Big Villa near CPH centre,9583791,Martin,,Vanlse,55.69547,12.48935,Entire home/apt,982,5,10,2020-08-09,0.14,1,21,0,
4948528,Cosy appartment near center of Cph.,23924993,Gyrithe,,Frederiksberg,55.67185,12.53683,Entire home/apt,823,4,25,2019-01-01,0.29,1,179,0,
4951277,Romantic House near the city,25522140,Thilde Juul,,Brnshj-Husum,55.69827,12.49453,Entire home/apt,1190,6,11,2020-07-24,0.16,1,12,0,
4954057,Hyggelig lejlighed med altan!,25536073,Amalie,,sterbro,55.70702,12.58496,Entire home/apt,450,2,9,2015-08-24,0.10,1,0,0,
4954387,Family friendly apt Frederiksberg,16996611,Klaus,,Frederiksberg,55.67999,12.53399,Entire home/apt,1499,5,1,2016-07-31,0.01,1,263,0,
4957580,Open flat w. atmosphere 2bikes free,7681878,Sune,,sterbro,55.69485,12.57152,Private room,550,2,81,2021-12-12,0.95,1,23,5,
4959597,"Familly Flat on the waterfront, in the center.",14497183,Jean-Thomas,,Amager Vest,55.66935,12.58062,Entire home/apt,1954,2,23,2019-08-03,0.40,1,0,0,
4961533,Cozy Apartment in Christianshavn,24960683,Christopher,,Indre By,55.6762,12.59807,Entire home/apt,895,2,25,2017-08-27,0.29,1,58,0,
4961566,Just cheep 'n' cosy,15407977,Birgitte,,Vesterbro-Kongens Enghave,55.66542,12.55481,Private room,500,2,232,2022-03-27,2.65,1,36,17,
4962098,Penthouse apartment w. private balcony,621498,Morten,,Vesterbro-Kongens Enghave,55.66362,12.54473,Entire home/apt,1950,6,35,2022-02-15,0.44,1,159,6,
4965011,Room in the cosy Copenghagen N.,2664163,Klaus,,Nrrebro,55.69466,12.5504,Private room,516,2,48,2022-03-14,0.55,2,0,5,
4986269,Kbh. K i hipt og roligt kvarter,25704957,Zaki,,Indre By,55.6826,12.56545,Entire home/apt,1274,7,9,2021-09-02,0.11,1,294,1,
5005875,Nice cozy and bright feminine room.,25814972,Marianne Lysgaard,,Vesterbro-Kongens Enghave,55.6715,12.54962,Private room,599,1,108,2019-10-11,1.36,1,365,0,
